,Movie_Name,Relese_Year,Rating_Score,Meta_Score,Total_Votes,Gross_USA,Movie_Genre,Director_Star
0,Rogue One: A Star Wars Story,2016,7.8,65.0,647163,532177324,"Action, Adventure, Sci-Fi","Director:Gareth Edwards| Stars:Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen"
1,Finding Dory,2016,7.3,77.0,281518,486295561,"Animation, Adventure, Comedy","Directors:Andrew Stanton, Angus MacLane| Stars:Ellen DeGeneres, Albert Brooks, Ed O'Neill, Kaitlin Olson"
2,Captain America: Civil War,2016,7.8,75.0,796984,408084349,"Action, Sci-Fi","Directors:Anthony Russo, Joe Russo| Stars:Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan"
3,The Secret Life of Pets,2016,6.5,61.0,205706,368384330,"Animation, Adventure, Comedy","Director:Chris Renaud| Stars:Louis C.K., Eric Stonestreet, Kevin Hart, Lake Bell"
4,The Jungle Book,2016,7.4,77.0,280618,364001123,"Adventure, Drama, Family","Director:Jon Favreau| Stars:Neel Sethi, Bill Murray, Ben Kingsley, Idris Elba"
5,Deadpool,2016,8.0,65.0,1048914,363070709,"Action, Comedy","Director:Tim Miller| Stars:Ryan Reynolds, Morena Baccarin, T.J. Miller, Ed Skrein"
6,Zootopia,2016,8.0,78.0,506489,341268248,"Animation, Adventure, Comedy","Directors:Byron Howard, Rich Moore, Jared Bush| Stars:Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate"
7,Batman v Superman: Dawn of Justice,2016,6.4,44.0,705104,330360194,"Action, Adventure, Sci-Fi","Director:Zack Snyder| Stars:Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg"
8,Suicide Squad,2016,5.9,40.0,692018,325100054,"Action, Adventure, Fantasy","Director:David Ayer| Stars:Will Smith, Jared Leto, Margot Robbie, Viola Davis"
9,Sing,2016,7.1,59.0,174718,270395425,"Animation, Comedy, Family","Directors:Garth Jennings, Christophe Lourdelet| Stars:Matthew McConaughey, Reese Witherspoon, Seth MacFarlane, Scarlett Johansson"
10,Moana,2016,7.6,81.0,342948,248757044,"Animation, Adventure, Comedy","Directors:Ron Clements, John Musker, Don Hall, Chris Williams| Stars:Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison"
11,Fantastic Beasts and Where to Find Them,2016,7.2,66.0,481890,234037575,"Adventure, Family, Fantasy","Director:David Yates| Stars:Eddie Redmayne, Katherine Waterston, Alison Sudol, Dan Fogler"
12,Doctor Strange,2016,7.5,72.0,751871,232641920,"Action, Adventure, Fantasy","Director:Scott Derrickson| Stars:Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong"
13,Hidden Figures,2016,7.8,74.0,235137,169607287,"Biography, Drama, History","Director:Theodore Melfi| Stars:Taraji P. Henson, Octavia Spencer, Janelle Monáe, Kevin Costner"
14,Jason Bourne,2016,6.6,58.0,230784,162434410,"Action, Thriller","Director:Paul Greengrass| Stars:Matt Damon, Tommy Lee Jones, Alicia Vikander, Vincent Cassel"
15,Star Trek Beyond,2016,7.0,68.0,249136,158848340,"Action, Adventure, Sci-Fi","Director:Justin Lin| Stars:Chris Pine, Zachary Quinto, Karl Urban, Zoe Saldana"
16,X-Men: Apocalypse,2016,6.9,52.0,440500,155442489,"Action, Adventure, Sci-Fi","Director:Bryan Singer| Stars:James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult"
17,Trolls,2016,6.4,55.0,84256,153707064,"Animation, Adventure, Comedy","Directors:Mike Mitchell, Walt Dohrn| Stars:Anna Kendrick, Justin Timberlake, Zooey Deschanel, Christopher Mintz-Plasse"
18,La La Land,2016,8.0,94.0,600298,151101803,"Comedy, Drama, Music","Director:Damien Chazelle| Stars:Ryan Gosling, Emma Stone, Rosemarie DeWitt, J.K. Simmons"
19,Kung Fu Panda 3,2016,7.1,66.0,164596,143528619,"Animation, Action, Adventure","Directors:Alessandro Carloni, Jennifer Yuh Nelson| Stars:Jack Black, Bryan Cranston, Dustin Hoffman, Angelina Jolie"
20,Split,IX) (2016,7.3,62.0,507946,138291365,"Horror, Thriller","Director:M. Night Shyamalan| Stars:James McAvoy, Anya Taylor-Joy, Haley Lu Richardson, Jessica Sula"
21,Ghostbusters: Answer the Call,2016,6.8,60.0,234780,128344089,"Action, Comedy, Fantasy","Director:Paul Feig| Stars:Melissa McCarthy, Kristen Wiig, Kate McKinnon, Leslie Jones"
22,Central Intelligence,2016,6.3,52.0,195929,127440871,"Action, Comedy, Crime","Director:Rawson Marshall Thurber| Stars:Dwayne Johnson, Kevin Hart, Danielle Nicolet, Amy Ryan"
23,The Legend of Tarzan,2016,6.2,44.0,179518,126643061,"Action, Adventure, Drama","Director:David Yates| Stars:Alexander Skarsgård, Rory J Saper, Christian Stevens, Christoph Waltz"
24,Sully,2016,7.4,74.0,277560,125070033,"Biography, Drama","Director:Clint Eastwood| Stars:Tom Hanks, Aaron Eckhart, Laura Linney, Valerie Mahaffey"
25,Janatha Garage,2016,7.2,,7573,120500000,"Action, Crime, Drama","Director:Koratala Siva| Stars:Mohanlal, N.T. Rama Rao Jr., Samantha Ruth Prabhu, Nithya Menen"
26,Bad Moms,2016,6.2,60.0,128290,113257297,Comedy,"Directors:Jon Lucas, Scott Moore| Stars:Mila Kunis, Kathryn Hahn, Kristen Bell, Christina Applegate"
27,Angry Birds,2016,6.3,43.0,95473,107509366,"Animation, Action, Adventure","Directors:Clay Kaytis, Fergal Reilly| Stars:Jason Sudeikis, Josh Gad, Danny McBride, Maya Rudolph"
28,Independence Day: Resurgence,2016,5.2,32.0,181939,103144286,"Action, Adventure, Sci-Fi","Director:Roland Emmerich| Stars:Liam Hemsworth, Jeff Goldblum, Bill Pullman, Maika Monroe"
29,The Conjuring 2,2016,7.3,65.0,276372,102470008,"Horror, Mystery, Thriller","Director:James Wan| Stars:Vera Farmiga, Patrick Wilson, Madison Wolfe, Frances O'Connor"
30,Arrival,I2016,7.9,81.0,705444,100546139,"Drama, Mystery, Sci-Fi","Director:Denis Villeneuve| Stars:Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg"
31,Passengers,2016,7.0,41.0,413389,100014699,"Drama, Romance, Sci-Fi","Director:Morten Tyldum| Stars:Jennifer Lawrence, Chris Pratt, Michael Sheen, Laurence Fishburne"
32,Sausage Party,2016,6.1,66.0,198265,97685686,"Animation, Adventure, Comedy","Directors:Greg Tiernan, Conrad Vernon| Stars:Seth Rogen, Kristen Wiig, Jonah Hill, Alistair Abell"
33,The Magnificent Seven,2016,6.8,54.0,215210,93432655,"Action, Adventure, Western","Director:Antoine Fuqua| Stars:Denzel Washington, Chris Pratt, Ethan Hawke, Vincent D'Onofrio"
34,Ride Along 2,2016,5.9,32.0,60152,91221830,"Action, Comedy, Crime","Director:Tim Story| Stars:Ice Cube, Kevin Hart, Tika Sumpter, Benjamin Bratt"
35,Don't Breathe,2016,7.1,71.0,280462,89217875,"Crime, Horror, Thriller","Director:Fede Alvarez| Stars:Stephen Lang, Jane Levy, Dylan Minnette, Daniel Zovatto"
36,Miss Peregrine's Home for Peculiar Children,2016,6.7,57.0,177306,87242834,"Adventure, Drama, Family","Director:Tim Burton| Stars:Eva Green, Asa Butterfield, Samuel L. Jackson, Judi Dench"
37,The Accountant,2016,7.3,51.0,300415,86260045,"Action, Thriller","Director:Gavin O'Connor| Stars:Ben Affleck, Anna Kendrick, J.K. Simmons, Jon Bernthal"
38,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,5.9,40.0,94919,82051601,"Action, Adventure, Comedy","Director:Dave Green| Stars:Megan Fox, Will Arnett, Tyler Perry, Laura Linney"
39,The Purge: Election Year,2016,6.0,55.0,103632,79213375,"Action, Horror, Sci-Fi","Director:James DeMonaco| Stars:Frank Grillo, Elizabeth Mitchell, Mykelti Williamson, Joseph Julian Soria"
40,Alice Through the Looking Glass,2016,6.2,34.0,112305,77042381,"Adventure, Family, Fantasy","Director:James Bobin| Stars:Mia Wasikowska, Johnny Depp, Helena Bonham Carter, Anne Hathaway"
41,Pete's Dragon,2016,6.7,71.0,59421,76233151,"Action, Adventure, Comedy","Director:David Lowery| Stars:Bryce Dallas Howard, Robert Redford, Oakes Fegley, Oona Laurence"
42,The Girl on the Train,2016,6.5,48.0,190301,75395035,"Crime, Drama, Mystery","Director:Tate Taylor| Stars:Emily Blunt, Haley Bennett, Rebecca Ferguson, Justin Theroux"
43,Boo! A Madea Halloween,2016,4.6,30.0,8850,73206343,"Comedy, Drama, Horror","Director:Tyler Perry| Stars:Tyler Perry, Cassi Davis, Patrice Lovely, Yousef Erakat"
44,Storks,2016,6.8,56.0,63824,72679278,"Animation, Adventure, Comedy","Directors:Nicholas Stoller, Doug Sweetland| Stars:Andy Samberg, Katie Crown, Kelsey Grammer, Jennifer Aniston"
45,10 Cloverfield Lane,2016,7.2,76.0,334302,72082998,"Drama, Horror, Mystery","Director:Dan Trachtenberg| Stars:John Goodman, Mary Elizabeth Winstead, John Gallagher Jr., Douglas M. Griffin"
46,Lights Out,I2016,6.3,58.0,132800,67268835,"Horror, Mystery","Director:David F. Sandberg| Stars:Teresa Palmer, Gabriel Bateman, Maria Bello, Billy Burke"
47,Hacksaw Ridge,2016,8.1,71.0,535642,67209615,"Biography, Drama, History","Director:Mel Gibson| Stars:Andrew Garfield, Sam Worthington, Luke Bracey, Teresa Palmer"
48,Allegiant,2016,5.7,33.0,125312,66184051,"Action, Adventure, Mystery","Director:Robert Schwentke| Stars:Shailene Woodley, Theo James, Jeff Daniels, Naomi Watts"
49,Now You See Me 2,2016,6.4,46.0,296624,65075540,"Action, Adventure, Comedy","Director:Jon M. Chu| Stars:Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Dave Franco"
50,Ice Age: Collision Course,2016,5.6,34.0,68865,64063008,"Animation, Adventure, Comedy","Directors:Michael Thurmeier, Galen T. Chu| Stars:Ray Romano, Denis Leary, John Leguizamo, Chris Wedge"
51,The Boss,2016,5.4,40.0,47072,63285885,Comedy,"Director:Ben Falcone| Stars:Melissa McCarthy, Kristen Bell, Peter Dinklage, Ella Anderson"
52,London Has Fallen,2016,5.9,28.0,161608,62678608,"Action, Thriller","Director:Babak Najafi| Stars:Gerard Butler, Aaron Eckhart, Morgan Freeman, Angela Bassett"
53,Miracles from Heaven,2016,7.1,44.0,26413,61705123,"Biography, Drama, Family","Director:Patricia Riggen| Stars:Jennifer Garner, Kylie Rogers, Martin Henderson, Brighton Sharbino"
54,Deepwater Horizon,2016,7.1,68.0,172111,61433527,"Action, Drama, History","Director:Peter Berg| Stars:Mark Wahlberg, Kurt Russell, Douglas M. Griffin, James DuMont"
55,Why Him?,2016,6.2,39.0,116401,60323786,Comedy,"Director:John Hamburg| Stars:Zoey Deutch, James Franco, Tangie Ambrose, Cedric the Entertainer"
56,My Big Fat Greek Wedding 2,2016,6.0,37.0,31764,59689605,"Comedy, Romance","Director:Kirk Jones| Stars:Nia Vardalos, John Corbett, Michael Constantine, Lainie Kazan"
57,Jack Reacher: Never Go Back,2016,6.1,47.0,162577,58697076,"Action, Crime, Drama","Director:Edward Zwick| Stars:Tom Cruise, Cobie Smulders, Aldis Hodge, Robert Knepper"
58,Fences,2016,7.2,79.0,110671,57682904,Drama,"Director:Denzel Washington| Stars:Denzel Washington, Viola Davis, Stephen McKinley Henderson, Jovan Adepo"
59,Me Before You,2016,7.4,51.0,260150,56245075,"Drama, Romance","Director:Thea Sharrock| Stars:Emilia Clarke, Sam Claflin, Janet McTeer, Charles Dance"
60,The BFG,2016,6.3,66.0,88081,55483770,"Adventure, Family, Fantasy","Director:Steven Spielberg| Stars:Mark Rylance, Ruby Barnhill, Penelope Wilton, Jemaine Clement"
61,Neighbors 2: Sorority Rising,2016,5.7,58.0,125201,55455765,Comedy,"Director:Nicholas Stoller| Stars:Seth Rogen, Rose Byrne, Zac Efron, Chloë Grace Moretz"
62,The Shallows,2016,6.3,59.0,135855,55124043,"Action, Drama, Horror","Director:Jaume Collet-Serra| Stars:Blake Lively, Óscar Jaenada, Angelo Josue Lozano Corzo, Joseph Salas"
63,Office Christmas Party,2016,5.9,42.0,83185,54767494,Comedy,"Directors:Josh Gordon, Will Speck| Stars:Jason Bateman, Olivia Munn, T.J. Miller, Jennifer Aniston"
64,Assassin's Creed,2016,5.6,36.0,201422,54647948,"Action, Adventure, Sci-Fi","Director:Justin Kurzel| Stars:Michael Fassbender, Marion Cotillard, Jeremy Irons, Brendan Gleeson"
65,Barbershop: The Next Cut,2016,5.9,67.0,15521,54030051,"Comedy, Drama","Director:Malcolm D. Lee| Stars:Ice Cube, Regina Hall, Anthony Anderson, Eve"
66,13 Hours,2016,7.3,48.0,147096,52853219,"Action, Drama, History","Director:Michael Bay| Stars:John Krasinski, Pablo Schreiber, James Badge Dale, David Denman"
67,Lion,2016,8.0,69.0,239744,51739495,"Biography, Drama","Director:Garth Davis| Stars:Dev Patel, Nicole Kidman, Rooney Mara, Sunny Pawar"
68,The Huntsman: Winter's War,2016,6.1,35.0,112650,48390190,"Action, Adventure, Drama","Director:Cedric Nicolas-Troyan| Stars:Chris Hemsworth, Jessica Chastain, Charlize Theron, Emily Blunt"
69,Kubo and the Two Strings,2016,7.7,84.0,131502,48023088,"Animation, Action, Adventure","Director:Travis Knight| Stars:Charlize Theron, Art Parkinson, Matthew McConaughey, Ralph Fiennes"
70,Manchester by the Sea,2016,7.8,96.0,288161,47695371,Drama,"Director:Kenneth Lonergan| Stars:Casey Affleck, Michelle Williams, Kyle Chandler, Lucas Hedges"
71,Warcraft,2016,6.7,32.0,267387,47365290,"Action, Adventure, Fantasy","Director:Duncan Jones| Stars:Travis Fimmel, Paula Patton, Ben Foster, Dominic Cooper"
72,How to Be Single,2016,6.1,51.0,90060,46843513,"Comedy, Drama, Romance","Director:Christian Ditter| Stars:Dakota Johnson, Rebel Wilson, Leslie Mann, Alison Brie"
73,Mike and Dave Need Wedding Dates,2016,6.0,51.0,91013,46009673,"Comedy, Romance","Director:Jake Szymanski| Stars:Zac Efron, Adam Devine, Anna Kendrick, Aubrey Plaza"
74,The Great Wall,2016,5.9,42.0,138802,45540830,"Action, Adventure, Fantasy","Director:Yimou Zhang| Stars:Matt Damon, Tian Jing, Willem Dafoe, Andy Lau"
75,War Dogs,2016,7.1,57.0,225859,43034523,"Biography, Comedy, Crime","Director:Todd Phillips| Stars:Jonah Hill, Miles Teller, Steve Lantz, Gregg Weiner"
76,Almost Christmas,2016,6.1,55.0,7277,41715860,"Comedy, Drama, Romance","Director:David E. Talbert| Stars:Kimberly Elise, Omar Epps, Danny Glover, Mo'Nique"
77,Money Monster,2016,6.5,55.0,101565,41012075,"Crime, Drama, Mystery","Director:Jodie Foster| Stars:George Clooney, Julia Roberts, Jack O'Connell, Dominic West"
78,Allied,2016,7.1,60.0,160259,40098064,"Action, Drama, Romance","Director:Robert Zemeckis| Stars:Brad Pitt, Marion Cotillard, Jared Harris, Vincent Ebrahim"
79,Nerve,2016,6.5,58.0,133131,38583626,"Action, Adventure, Crime","Directors:Henry Joost, Ariel Schulman| Stars:Emma Roberts, Dave Franco, Emily Meade, Miles Heizer"
80,Risen,2016,6.3,51.0,28889,36874745,"Action, Drama, History","Director:Kevin Reynolds| Stars:Joseph Fiennes, Tom Felton, Peter Firth, Cliff Curtis"
81,The Nice Guys,2016,7.3,70.0,335160,36261763,"Action, Comedy, Crime","Director:Shane Black| Stars:Russell Crowe, Ryan Gosling, Angourie Rice, Matt Bomer"
82,The Boy,2016,6.0,42.0,95091,35819556,"Horror, Mystery, Thriller","Director:William Brent Bell| Stars:Lauren Cohan, Rupert Evans, James Russell, Jim Norton"
83,Dirty Grandpa,2016,5.9,21.0,126313,35593113,Comedy,"Director:Dan Mazer| Stars:Robert De Niro, Zac Efron, Zoey Deutch, Aubrey Plaza"
84,Ouija: Origin of Evil,2016,6.2,65.0,67097,35144505,"Drama, Horror, Mystery","Director:Mike Flanagan| Stars:Elizabeth Reaser, Lulu Wilson, Annalise Basso, Henry Thomas"
85,The 5th Wave,2016,5.2,33.0,111732,34916787,"Action, Adventure, Sci-Fi","Director:J Blakeson| Stars:Chloë Grace Moretz, Matthew Zuk, Gabriela Lopez, Bailey Anne Borders"
86,Inferno,2016,6.2,42.0,179372,34343574,"Action, Adventure, Crime","Director:Ron Howard| Stars:Tom Hanks, Felicity Jones, Irrfan Khan, Ben Foster"
87,Monster Trucks,2016,5.6,41.0,17711,33370166,"Action, Adventure, Comedy","Director:Chris Wedge| Stars:Lucas Till, Jane Levy, Thomas Lennon, Barry Pepper"
88,Mother's Day,2016,5.6,18.0,37863,32463917,"Comedy, Drama, Romance","Director:Garry Marshall| Stars:Jennifer Aniston, Kate Hudson, Julia Roberts, Jason Sudeikis"
89,Patriots Day,2016,7.3,69.0,105211,31886361,"Action, Crime, Drama","Director:Peter Berg| Stars:Mark Wahlberg, Michelle Monaghan, J.K. Simmons, John Goodman"
90,Gods of Egypt,2016,5.4,25.0,119449,31153464,"Action, Adventure, Fantasy","Director:Alex Proyas| Stars:Brenton Thwaites, Nikolaj Coster-Waldau, Gerard Butler, Chadwick Boseman"
91,Collateral Beauty,2016,6.7,23.0,101818,31016021,"Drama, Romance","Director:David Frankel| Stars:Will Smith, Edward Norton, Kate Winslet, Michael Peña"
92,"Hail, Caesar!",2016,6.3,72.0,137310,30498085,"Comedy, Drama, Mystery","Directors:Ethan Coen, Joel Coen| Stars:Josh Brolin, George Clooney, Alden Ehrenreich, Ralph Fiennes"
93,Underworld: Blood Wars,2016,5.7,23.0,77461,30353973,"Action, Adventure, Fantasy","Director:Anna Foerster| Stars:Kate Beckinsale, Theo James, Tobias Menzies, Lara Pulver"
94,When the Bough Breaks,2016,5.2,28.0,7395,29703843,"Drama, Thriller","Director:Jon Cassar| Stars:Morris Chestnut, Regina Hall, Romany Malco, Michael Kenneth Williams"
95,Zoolander 2,2016,4.7,34.0,72023,28848693,"Action, Adventure, Comedy","Director:Ben Stiller| Stars:Ben Stiller, Owen Wilson, Penélope Cruz, Will Ferrell"
96,Moonlight,2016,7.4,99.0,313006,27854932,Drama,"Director:Barry Jenkins| Stars:Mahershala Ali, Naomie Harris, Trevante Rhodes, Alex R. Hibbert"
97,The Finest Hours,2016,6.7,58.0,67940,27569558,"Action, Drama, History","Director:Craig Gillespie| Stars:Chris Pine, Casey Affleck, Ben Foster, Eric Bana"
